Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,list_facilities,lantai,area_digunakan,luas_tanah,latitude,longitude
410000000.0,Waru,2,1,1,"Garasi, AC, Halaman, Air, Tanpa perabotan, Fully fenced, Internet, Dapur lengkap, Alarm, Listrik, Teras, Wifi",1,36,72,-7.3503078,112.7674661
391000000.0,Gedangan,2,1,1,"Garasi, AC, Halaman, Listrik, Teras, Wifi, Internet, Dapur lengkap, Air, Tanpa perabotan, Fully fenced",1,36,72,-7.3896762,112.7279598
390000000.0,Sedati,2,1,1,"Garasi, Halaman, Listrik, Teras, Wifi, Internet, Air, Tanpa perabotan, Fully fenced",1,36,72,-7.3717382,112.76373357
419000000.0,Buduran,2,1,1,"Garasi, AC, Pemanasan, Halaman, Tanpa perabotan, Wifi, Internet, Dapur lengkap, Kabel video, Air, Teras",1,36,72,-7.425129,112.7230909
382000000.0,Waru,2,1,1,"Garasi, AC, Kabel video, Air, Tanpa perabotan, Fully fenced, Internet, Dapur lengkap, Halaman, Listrik, Teras, Wifi",1,36,72,-7.3503078,112.7674661
90000000.0,Waru,2,2,2,"Garasi, AC, Kabel video, Ruang layanan, Berperabot lengkap, Internet, Dapur terpadu, Halaman, Air, Wifi",2,60,72,-7.35128,112.8135304
565000000.0,Gedangan,2,1,1,"Garasi, AC, Halaman, Listrik, Teras, Wifi, Internet, Dapur lengkap, Air, Tanpa perabotan, Fully fenced",1,44,96,-7.3896762,112.7279598
540000000.0,Sedati,2,1,1,"Garasi, AC, Kabel video, Air, Tanpa perabotan, Internet, Dapur lengkap, Halaman, Listrik, Wifi",1,44,90,-7.395451,112.769745
1050000000.0,Buduran,3,2,0,"Halaman, Tanpa perabotan, Air, Fully fenced",1,100,202,-7.44478681,112.70251416
407000000.0,Gedangan,2,1,1,"Garasi, Dapur lengkap, Halaman, Listrik, Teras, Wifi, Internet, Kabel video, Air, Tanpa perabotan, Fully fenced",1,36,72,-7.40567335,112.72605691
608000000.0,Gedangan,2,1,1,"Garasi, Halaman, Air, Deck, Pemandangan panorama, Ruang layanan, Listrik",1,43,75,-7.3896762,112.7279598
602000000.0,Sedati,2,1,0,"Garasi, Listrik, Air, Teras",1,45,75,-7.3717381,112.7637334
500000000.0,Sukodono,2,1,1,"Garasi, Dapur terpadu, Tanpa perabotan, AC, Air",1,40,90,-7.41472201,112.69134209
385000000.0,Wonoayu,2,1,1,"Internet, Air, Tanpa perabotan, Halaman, Listrik",1,40,91,-7.43716,112.62222
425000000.0,Krian,2,1,1,"Garasi, AC, Pemandangan panorama, Air, Tanpa perabotan, Internet, Dapur terpadu, Halaman, Listrik",1,36,72,-7.40132192,112.58808445
575000000.0,Sidoarjo,2,1,1,"Garasi, Halaman, Listrik, Dapur terpadu, Air, Tanpa perabotan",1,40,90,-7.422559,112.681056
