Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,list_facilities,list_buildings,lantai,area_digunakan,luas_tanah,latitude,longitude,dist_SD,dist_SMP,dist_SMA_SMK,dist_Universitas,dist_Fasilitas_Kesehatan,dist_Mall,dist_Supermarket,dist_Minimarket,dist_Stasiun,dist_Terminal,dist_Bandara,dist_Halte,dist_Entry_Exit_Tol
385000000,Wonoayu,2,1,1,"Internet, Air, Tanpa perabotan, Halaman, Listrik","Keamanan, Taman, Keamanan 24 jam, Area anak-anak, Rumah jaga",1,34,10,-7.43716,112.62222,5.2861162107398885,5.405134203407122,5.784942800924271,10.829116881170561,5.527251475213476,9.865963395230251,8.244601827864658,6.644070176062439,5.362372097000253,6.297998062220402,21.38688270048618,5.362372097000253,29.86655689260971
540000000,Sedati,2,1,1,"Garasi, AC, Kabel video, Air, Tanpa perabotan, Internet, Dapur lengkap, Halaman, Listrik, Wifi","Keamanan, Gym, Taman, Rumah jaga, Keamanan 24 jam, Cctv, Area anak-anak, Panggang, Lapangan tenis",1,32,32,-7.395451,112.769745,2.126120461642088,5.4508038766191955,1.1683347394728014,2.3522658296397325,2.2097024171225352,6.722774140723674,5.29921172280644,2.8080936401514554,4.825076562937873,2.463127662410594,2.463127662410594,4.825076562937873,8.572197323203074
1960000000,Candi,4,3,3,"Garasi, AC, Dapur lengkap, Tangki air, Listrik, Teras, Internet, Balkon, Pemandangan panorama, Air, Berperabot lengkap","Area anak-anak, Rumah jaga, Taman, Keamanan 24 jam",3,72,32,-7.4584834,112.70056,2.267426345978553,2.457838121943939,0.674587745718798,1.7550789307471801,1.545929897629453,3.2078148488729408,1.4268298772988284,1.4848118795898928,1.9456196254903078,2.891953301507584,14.379987925622565,2.3004030549845083,2.036762843682307
950000000,Candi,3,2,2,"Garasi, Halaman, Internet, Tanpa perabotan","Area anak-anak, Taman atap, Taman, Rumah jaga",2,72,32,-7.48448617,112.7253837,1.0658872786853777,3.3089324006781,3.562255770716342,4.077568028653742,2.645925209771734,5.483670683569076,3.2898489940823703,0.47076626382698916,4.540350166199524,3.61059213112647,15.64933010065478,4.4538375449972865,14.222444275055622
691000000,Sukodono,2,2,2,"Garasi, Halaman, Tanpa perabotan, Internet, Listrik","Keamanan, Rumah jaga, Taman, Keamanan 24 jam",2,72,32,-7.3914287,112.6988252,0.5443829137967507,2.3367794256031975,5.736192913815068,6.735769304801149,2.7323869304975092,6.1017918275926,2.181219469958154,1.8503573589994893,5.118060089212458,6.280646136397002,9.747784742302331,5.118060089212458,20.4078121630898
650000000,Candi,2,1,1,"Listrik, Fully fenced, Tanpa perabotan",Tidak Ada,1,30,35,-7.4849269,112.7435171,1.6883643408390843,4.075242959344074,4.3285663293823164,5.038956914969585,3.412235768437708,6.820230909471391,4.056159552748345,1.749936621608063,5.923350854255196,4.947152357028786,16.41564065932075,6.242543735831133,15.559004500957945
390000000,Sedati,2,1,1,"Garasi, Halaman, Listrik, Fully fenced, Pemandangan panorama, Air, Tanpa perabotan","Keamanan, Area anak-anak, Rumah jaga, Gym, Taman, Keamanan 24 jam",1,35,35,-7.40081,112.80328,2.1669565571025546,9.974993781460146,4.872965848380151,1.6082904308896506,5.914333526029885,10.427405249631024,8.90203040606964,5.227299591294905,8.529707671845228,5.0740627474947795,6.196879607492897,8.529707671845228,10.036647772307035
475000000,Candi,2,1,0,Tanpa perabotan,Tidak Ada,1,35,35,-7.4582129,112.6904798,2.473496643242906,1.7320267298932392,1.9879727749225944,3.191413274175002,0.5842920010430309,2.5546169308086695,0.9360087575243845,0.6517594822952102,3.400314037982164,3.5738474701020833,15.81632226905039,3.743980631544775,16.15821715575368
455000000,Sukodono,2,1,1,Tanpa perabotan,Tidak Ada,1,35,35,-7.3884639,112.7037735,1.4416704100800803,2.249066209163351,5.175129243945521,6.30072262315005,1.6887420487861442,5.012669632884134,2.0935062535183078,0.9506832719210803,4.472874403186721,5.364530958238249,8.691775628242556,4.472874403186721,20.33861145504188
355000000,Tulangan,2,1,1,Tanpa perabotan,Tidak Ada,1,35,35,-7.4494294,112.6391366,6.048994659800866,5.746299324148141,4.790410732167311,10.48336591282846,7.6462975089550875,9.530030326991511,7.2186997165573645,4.363075356467169,3.1324470515376164,8.903798525824161,21.213317386436557,3.1324470515376164,20.13529179565663
