Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,lantai,area_digunakan,luas_tanah,latitude,longitude,dist_SD,dist_SMP,dist_SMA_SMK,dist_Universitas,dist_Fasilitas_Kesehatan,dist_Mall,dist_Supermarket,dist_Minimarket,dist_Stasiun,dist_Terminal,dist_Bandara,dist_Halte,dist_Entry_Exit_Tol,road_score,has_exit_tol,AC,Air,Alarm,Balkon,Berperabot lengkap,Dapur lengkap,Dapur terpadu,Deck,Fully fenced,Garasi,Gas alam,Halaman,Halaman terbuka,Internet,Jacuzzi,Jaringan internet,Kabel video,Kitchen set,Lemari pakaian bawaan,Listrik,Pagar penuh,Pemanas ruangan,Pemanasan,Pemandangan panorama,Pendingin ruangan (AC),Perapian,Ruang kantor,Ruang layanan,Rubanah,Sebagian perabotan,Setengah terpisah,Sistem Alarm,TV kabel,Tangki air,Tanpa perabotan,Teras,Wifi,Akses bagi penyandang disabilitas,Angkat,Area anak-anak,BBQ Area,Cctv,Gym,Keamanan,Keamanan 24 jam,Kolam renang,Lapangan tenis,Panggang,Pramutamu,Pustaka,Rumah jaga,Sauna,Spa,Spa dan Sauna,Taman,Taman atap,Taman bermain anak,Tidak Ada
140,Tulangan,3,2,0,1,90,90,-7.472613,112.66754,3.788485157,4.410160492,3.569610887,7.48807905,3.967491241,6.838179161,3.886930266,1.67122419,3.414253244,6.978146743,19.38778336,3.441593893,14.73138427,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,Waru,1,1,0,1,110,105,-7.3434451,112.7685874,1.377339183,1.996591986,2.17011146,3.59382091,1.441414916,6.581760473,0.384944975,1.627990143,5.10282317,5.914417178,5.793978306,5.083964019,5.10118704,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34.999,Sidoarjo,3,1,0,1,72,72,-7.4585763,112.7262956,1.388512395,0.649410201,0.763233042,2.126379246,0.875098983,2.509527414,1.590194706,0.750152995,2.234796832,2.45828242,13.62778679,2.307638852,4.338507996,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
200,Sidoarjo,3,2,0,2,120,96,-7.4540491,112.7066448,1.329265792,1.199338443,1.227777695,0.816918377,1.117265542,1.37170299,1.000657349,2.333336452,2.185836562,3.394768865,13.33977515,0.959526932,1.632499152,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,Waru,3,2,0,2,150,175,-7.3517813,112.7846068,3.655698466,4.153966852,4.333047014,2.145324082,1.337944385,8.962938975,1.481955455,0.333828139,7.489622164,5.530774531,4.345481477,7.470763013,1.145830679,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Waru,4,0,2,2,165,115,-7.348395,112.7494759,1.457812834,0.75278221,1.734544537,1.949883784,1.412487133,3.872658368,1.377156403,2.346668577,2.488905983,3.965214251,5.005588129,2.470046833,81.19501354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,Buduran,3,2,0,1,36,72,-7.436595,112.694927,2.305282635,1.091080798,3.925477366,3.50384699,4.093047567,2.540693504,3.146910149,25.70403532,5.67407719,6.67435079,15.58889553,4.631210221,27.31766661,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,Sedati,2,1,1,1,36,90,-7.3717382,112.7637336,1.055519877,2.530923798,2.379729331,5.851397801,0.925778456,4.842332909,1.457960423,0.343812911,5.271921531,2.616759892,1.74408927,5.39617651,7.514619113,3,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,Gedangan,2,2,0,2,160,160,-7.3885133,112.7322946,0.293057018,1.308594815,0.5520178,5.005422535,0.884893335,3.298831435,0.996987213,0.818791308,0.532064133,5.621226095,4.300310279,1.125763389,81.19501354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,Gedangan,3,2,0,1,154,154,-7.3979436,112.74536,1.075206569,2.447157749,1.917452246,5.572176961,2.914814054,5.768567417,2.494038204,1.76336743,3.001800116,5.077192384,4.020525534,3.001800116,9.410037037,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
