Harga_Asli,kecamatan,bedroom,bathrooms,jumlah_guest_toilet,lantai,area_digunakan,luas_tanah,latitude,longitude,dist_SD,dist_SMP,dist_SMA_SMK,dist_Universitas,dist_Fasilitas_Kesehatan,dist_Mall,dist_Supermarket,dist_Minimarket,dist_Stasiun,dist_Terminal,dist_Bandara,dist_Halte,dist_Entry_Exit_Tol,road_score,has_exit_tol,AC,Air,Alarm,Balkon,Berperabot lengkap,Dapur lengkap,Dapur terpadu,Deck,Fully fenced,Garasi,Gas alam,Halaman,Halaman terbuka,Internet,Jacuzzi,Jaringan internet,Kabel video,Kitchen set,Lemari pakaian bawaan,Listrik,Pagar penuh,Pemanas ruangan,Pemanasan,Pemandangan panorama,Pendingin ruangan (AC),Perapian,Ruang kantor,Ruang layanan,Rubanah,Sebagian perabotan,Setengah terpisah,Sistem Alarm,TV kabel,Tangki air,Tanpa perabotan,Teras,Wifi,Akses bagi penyandang disabilitas,Angkat,Area anak-anak,BBQ Area,Cctv,Gym,Keamanan,Keamanan 24 jam,Kolam renang,Lapangan tenis,Panggang,Pramutamu,Pustaka,Rumah jaga,Sauna,Spa,Spa dan Sauna,Taman,Taman atap,Taman bermain anak,Tidak Ada
67.4,Waru,2,1,1,32,36,72,-7.35444594,112.8135187,5.297770815,7.7688971,7.985354404,2.473561473,4.903666295,12.53428138,6.6574939,4.866488461,11.05534407,8.134343618,1.549212041,11.03648492,4.900161698,3,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
75,Candi,13,3,0,2,162,162,-7.4673674,112.7023641,1.742559299,2.276405157,1.299785296,2.342984867,1.920283628,2.988208825,2.22449385,1.408363513,2.337679631,1.571948555,14.86476131,2.925600605,2.661960394,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,Waru,12,4,0,2,200,137,-7.35119823,112.7299941,2.899297013,1.150907231,2.03982153,0.744663034,2.645816143,1.640342164,0.869380599,0.768668903,0.242368981,1.732898047,5.756491598,0.22350983,81.19501354,4,0,1,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Tulangan,2,1,1,1,38,72,-7.4812926,112.6468606,6.327984246,6.601769438,5.761219833,8.924023122,6.159100187,9.029788107,6.078539212,3.862833136,1.990336954,9.169755689,21.57939231,1.990336954,16.16631738,4,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
120,Waru,2,2,0,1,200,200,-7.3434451,112.7685874,1.377339183,1.996591986,2.17011146,3.59382091,1.441414916,6.581760473,0.384944975,1.627990143,5.10282317,5.914417178,5.793978306,5.083964019,5.10118704,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,Buduran,4,3,0,1,137,137,-7.4285603,112.7084552,3.120266573,1.632491081,1.63366086,2.847193997,1.929084166,2.452671904,2.282243498,22.42143383,5.400897452,5.898928668,10.94166682,4.094801761,24.03506511,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32.003,Gedangan,2,1,1,1,56,90,-7.3896762,112.7279598,0.158767307,1.777257755,1.21182274,4.456698371,0.27487645,2.68881455,0.927586993,0.208774423,0.08462473,5.01120921,4.714349383,0.08462473,81.19501354,5,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
175,Waru,3,2,0,2,160,180,-7.3452733,112.7792324,2.360406478,3.07064508,3.287102383,2.243231333,0.066255152,7.785805087,0.186663467,1.375284267,6.306867783,5.714115608,4.443388729,6.288008633,2.97643129,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
170,Tulangan,2,1,0,1,36,72,-7.46041,112.656837,5.186730328,4.470411134,3.629861529,7.851765389,4.161407024,6.898429803,4.587099192,1.731474832,2.918433812,7.61629044,19.448034,3.071008234,18.00079009,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,Waru,4,2,0,2,100,255,-7.3399267,112.7562893,2.597476493,2.50980273,2.680404847,4.610746191,2.552150792,6.533520774,1.977784907,0.687217669,5.14976839,6.626076658,6.357688631,5.130909239,4.310022946,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Waru,4,1,0,1,90,90,-7.3559,112.75598,0.107599157,0.675929937,0.441197796,3.195144485,0.152924859,4.504551836,1.198331964,2.155439386,3.734166684,5.210474951,3.905364007,3.734166684,1.851824685,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42.5,Wonoayu,2,1,1,1,36,72,-7.4219617,112.6468617,1.171660351,0.669982626,5.610202999,8.307079912,4.180749174,7.343926426,7.314330639,4.640902274,6.459214099,8.492731271,17.15463428,6.459214099,25.84478376,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,Sidoarjo,3,1,0,1,170,140,-7.4490842,112.6824377,1.347327059,0.631007866,0.78614283,3.77147722,1.347327059,2.808323734,2.631634613,2.629095272,4.913653215,5.528613568,15.60863074,4.813430536,17.98022328,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68.7,Waru,2,1,1,1,45,91,-7.3503078,112.7674661,1.10438002,1.229006217,1.445463521,3.972977345,0.373224262,5.970825657,4.238193775,0.837264716,4.491888353,5.123691752,3.893532255,4.473029203,5.266527028,4,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
160,Waru,4,3,0,1,180,180,-7.3450604,112.7493551,1.973121751,1.104049452,2.249853454,2.348836581,1.92779605,4.271611164,1.7761092,2.861977494,2.88785878,4.364167047,5.566344343,2.868999629,81.19501354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,Jabon,2,1,0,1,528,528,-7.5411,112.7309,8.816549207,8.537327982,11.27775911,4.412330286,4.338938784,13.3548178,4.852639587,4.788846933,4.392816793,11.48173925,23.36483344,4.44695813,81.19501354,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
47.5,Candi,2,1,0,1,35,35,-7.4582129,112.6904798,2.473496643,1.73202673,1.987972775,3.191413274,0.584292001,2.554616931,0.936008758,0.651759482,3.400314038,3.57384747,15.81632227,3.743980632,16.15821716,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16.5,Sidoarjo,2,1,1,1,36,90,-7.43309838,112.668657,1.776279121,2.926467236,2.744862301,5.341064437,2.43013549,4.377910951,5.210637232,23.06678384,5.395909403,8.238875379,15.41076868,5.548483825,24.74829128,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45.6,Sukodono,2,1,0,1,36,72,-7.4199765,112.6839275,1.229685772,0.939739659,0.555645755,5.866600209,1.793692953,4.903446724,2.95538606,8.575029452,8.03683041,8.810303158,12.22659119,6.99396344,23.23432654,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Tulangan,3,1,0,1,100,136,-7.4726134,112.6675398,3.788485157,4.410160492,3.569610887,7.48807905,3.967491241,6.838179161,3.886930266,1.67122419,3.414253244,6.978146743,19.38778336,3.441593893,14.73138427,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,Taman,2,1,0,1,110,120,-7.3758656,112.6435652,2.17718511,6.242463161,6.393359957,6.457340058,5.306928159,9.687721964,8.065235653,2.253344009,4.219875341,9.113363054,15.1740871,4.219875341,81.19501354,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
57.5,Taman,3,1,0,1,75,75,-7.3654212,112.7087058,0.789791937,1.498958733,3.275036634,4.218561115,1.010522221,2.984044828,2.505087274,1.085966104,3.915714661,2.490565508,6.847871728,3.61372125,23.08276336,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47.982,Taman,2,1,1,1,55,90,-7.340531,112.7077638,5.039305164,1.793968553,1.388814958,2.737127132,1.397520668,4.059999573,6.423217751,2.81503192,1.531673722,3.223142507,9.867280458,1.36647208,81.19501354,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
190,Balongbendo,3,2,0,1,414,416,-7.4217,112.5322,13.81773375,5.633311884,6.851203125,20.82565765,7.105650917,21.49493989,19.87357832,1.787440015,3.87899293,6.643186608,29.54240469,3.874138192,34.85677348,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,Waru,2,1,1,1,37,72,-7.3503078,112.7674661,1.10438002,1.229006217,1.445463521,3.972977345,0.373224262,5.970825657,4.238193775,0.837264716,4.491888353,5.123691752,3.893532255,4.473029203,5.266527028,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
45,Sedati,2,1,0,1,36,75,-7.4057354,112.7613933,2.506541114,5.029552199,1.235679044,4.461970855,2.912570849,7.408849671,4.701728815,2.92938413,5.511152093,4.563461083,3.793785723,5.511152093,12.05873884,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Buduran,2,1,1,1,85,91,-7.425129,112.7230909,1.91030037,1.39795371,1.106105101,1.052676295,2.292918065,2.740648466,2.107458689,1.941617939,5.114345548,5.494515392,8.711963207,4.531137012,22.15665081,3,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
75,Buduran,3,2,2,2,36,90,-7.425129,112.7230909,1.91030037,1.39795371,1.106105101,1.052676295,2.292918065,2.740648466,2.107458689,1.941617939,5.114345548,5.494515392,8.711963207,4.531137012,22.15665081,3,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
74.6,Taman,2,1,0,1,110,135,-7.363992,112.7091624,0.995417906,1.704584702,3.480662604,4.424187085,1.216148191,2.73572919,2.710713244,1.291592074,4.121340631,2.696191477,7.053497698,3.81934722,23.28838933,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29.25,Wonoayu,2,1,0,1,70,105,-7.446138,112.6514882,3.785473978,3.578061409,2.194564528,7.52916114,4.678234921,6.566007654,4.944646087,3.466680612,2.316424651,7.973837334,18.28095985,2.316424651,19.3192694,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
50,Sukodono,2,1,0,1,180,180,-7.3944661,112.6920199,1.214518976,2.691816861,4.365612693,7.582420238,2.502729568,7.018745403,2.536256906,2.205394795,5.473097525,7.197599712,10.10282218,5.473097525,19.77394186,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
25,Buduran,2,0,1,1,163,163,-7.425129,112.7230909,1.91030037,1.39795371,1.106105101,1.052676295,2.292918065,2.740648466,2.107458689,1.941617939,5.114345548,5.494515392,8.711963207,4.531137012,22.15665081,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40.95,Sedati,2,1,1,1,40,90,-7.3717382,112.7637336,1.055519877,2.530923798,2.379729331,5.851397801,0.925778456,4.842332909,1.457960423,0.343812911,5.271921531,2.616759892,1.74408927,5.39617651,7.514619113,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0
129,Waru,3,3,0,2,104,104,-7.363398,112.7426543,3.166799048,1.821359249,2.280225869,2.709358969,2.962648371,2.404499568,2.126401826,1.385387522,3.238151406,4.714459673,4.326955295,3.238151406,81.19501354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,Tulangan,3,2,0,1,100,112,-7.4726134,112.6675398,3.788485157,4.410160492,3.569610887,7.48807905,3.967491241,6.838179161,3.886930266,1.67122419,3.414253244,6.978146743,19.38778336,3.441593893,14.73138427,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,Waru,3,2,2,2,100,202,-7.3588392,112.7583752,0.705553645,0.679717036,0.443849056,3.793098972,0.750879346,4.501491454,0.670132861,2.447943576,4.332121171,4.573032165,3.342872668,4.332121171,5.702783243,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
196,Candi,3,3,3,2,60,90,-7.4622498,112.6958457,3.261169406,3.210982783,2.260083247,3.340574432,1.375491319,4.033572984,1.717050309,0.900919972,3.531115127,3.090558662,15.96548343,3.885898556,15.93557965,3,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
87.5,Sidoarjo,2,1,2,2,70,105,-7.4527332,112.7376059,2.674697792,0.160702626,2.659147978,2.836140966,3.075362641,3.604395248,1.095319451,1.359833855,4.320106951,4.435451684,11.45321316,4.377132588,5.400962062,3,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
34,Prambon,2,1,0,1,250,250,-7.48513,112.5915,0.943393508,10.88530986,9.812880464,16.16161072,9.702200644,16.51876905,13.56752015,10.81901934,9.162314023,10.47294723,28.51279103,9.479317893,23.65529832,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79.9,Candi,3,2,0,2,70,105,-7.4869445,112.6970147,0.481944784,3.668185782,5.60039661,2.750440132,5.013499874,6.562246301,4.932938899,1.913332993,4.292248943,4.689167749,18.43879878,4.205736322,14.262337,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
49,Gedangan,2,1,0,1,95,90,-7.3917721,112.7306701,0.811598983,1.229690775,1.376210914,4.585753045,1.403435301,3.8173734,0.570550072,1.337333273,1.050606099,6.139768061,4.818852244,1.050606099,81.19501354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,Waru,3,2,2,2,10,150,-7.3517813,112.7846068,3.655698466,4.153966852,4.333047014,2.145324082,1.337944385,8.962938975,1.481955455,0.333828139,7.489622164,5.530774531,4.345481477,7.470763013,1.145830679,2,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0
87,Krembung,2,1,0,1,228,228,-7.5268,112.6637,7.897964305,5.746944314,11.59598382,5.080471132,2.908489209,13.86411006,4.327001334,3.249704829,5.271918747,11.80931862,25.55894965,5.224403821,21.66326364,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
78,Taman,2,2,1,1,84,84,-7.3591519,112.709069,2.960690088,2.523575528,2.326789821,4.010384649,3.716588974,2.5526383,3.481320482,2.508766559,2.967467848,1.876432411,7.532586084,2.665474437,25.54368308,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
80,Tulangan,3,2,0,1,90,105,-7.454684,112.649794,4.885899209,5.228272413,2.922773376,8.629586371,5.30701753,7.666432885,5.732709698,3.061737362,1.911481401,8.761900945,19.38138509,1.911481401,18.91432615,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,Waru,3,1,0,2,135,135,-7.34506052,112.7493553,1.973121751,1.104049452,2.249853454,2.348836581,1.92779605,4.271611164,1.7761092,2.861977494,2.88785878,4.364167047,5.566344343,2.868999629,81.19501354,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
49.478,Krembung,2,1,0,1,202,120,-7.5268,112.6637,7.897964305,5.746944314,11.59598382,5.080471132,2.908489209,13.86411006,4.327001334,3.249704829,5.271918747,11.80931862,25.55894965,5.224403821,21.66326364,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39,Sedati,2,1,0,1,36,72,-7.4057354,112.7613933,2.506541114,5.029552199,1.235679044,4.461970855,2.912570849,7.408849671,4.701728815,2.92938413,5.511152093,4.563461083,3.793785723,5.511152093,12.05873884,3,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
32.01,Prambon,2,1,1,1,38,72,-7.4457506,112.5707595,7.512014843,4.41347128,4.167224303,17.94663175,4.087033105,16.98347827,15.3621167,4.647398506,2.683336435,4.552517386,27.50818548,2.34518898,32.82255427,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
80,Buduran,3,2,2,2,60,90,-7.41274316,112.7539302,1.841956955,5.352535493,2.952832209,4.891324535,3.967094253,7.383203889,4.610354723,1.487638381,5.531928824,6.280614247,5.510938887,5.531928824,23.60634108,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
30,Wonoayu,2,1,1,1,200,200,-7.4083339,112.6183751,2.813515088,2.833335976,4.840133952,12.19692153,5.174213141,11.15487832,10.12531048,3.531822631,2.926310706,4.681779374,19.96561412,5.092648141,26.22803736,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,Waru,3,2,0,1,36,72,-7.3458761,112.7748086,2.122049097,2.444135463,2.660592766,3.028784601,0.34361183,7.209519739,0.435806795,0.74877465,5.730582436,5.354368393,5.228941997,5.711723285,3.761984558,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,Waru,3,3,0,1,160,165,-7.3503078,112.7674661,1.10438002,1.229006217,1.445463521,3.972977345,0.373224262,5.970825657,4.238193775,0.837264716,4.491888353,5.123691752,3.893532255,4.473029203,5.266527028,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,Buduran,3,2,0,1,33,68,-7.44478681,112.7025142,1.444246078,0.739274084,0.848838283,1.186522063,0.805913705,2.002529617,0.829585222,2.787007033,3.356752263,4.357025864,12.87362312,2.313885294,0.792812864,2,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
90,Sukodono,3,2,2,2,36,72,-7.3801702,112.6900453,2.866724262,4.344022147,4.245473671,4.547175522,2.449309164,5.818714062,0.938623604,1.646324731,4.886544812,5.665879666,9.682540961,4.716637109,22.16177891,3,1,1,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0
25,Wonoayu,2,1,1,1,72,72,-7.446138,112.6514882,3.785473978,3.578061409,2.194564528,7.52916114,4.678234921,6.566007654,4.944646087,3.466680612,2.316424651,7.973837334,18.28095985,2.316424651,19.3192694,4,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
129,Gedangan,3,3,0,2,117,72,-7.3885665,112.7323259,0.293057018,1.308594815,0.5520178,5.005422535,0.884893335,3.298831435,0.996987213,0.818791308,0.532064133,5.621226095,4.300310279,1.125763389,81.19501354,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51.5,Wonoayu,2,1,0,1,295,295,-7.43367054,112.5930468,8.317619147,3.67739481,2.243034814,14.36088611,2.132354994,13.39773263,11.77637106,3.249173695,3.33031371,2.903101581,24.91865193,3.150448534,31.42432946,3,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0
